1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
ШтрихКод;ЛокальныйКод;Внешний код;Наименование;Полное наименование;ЕдиницаИзмерения;Группа;Группа2;Группа3;Группа4;Группа5;НДС;ЦенаПродажи;Страна;Поставщик;ЦенаЗакупки;Остаток;Производитель;ИНН Производителя;КПП Производителя;Импортер;ИНН Импортера;КПП Ипортера;Табак;Алкоголь;Крепость;Объем;АлкоКод;Вид алкогольной продукции
;329;ae9d8f38-ceba-11e4-80c4-0025222dc009;Сухарики 3 корочки ржан. с соусом 60 гр;Сухарики 3 корочки ржан. с соусом 60 гр;шт;Сухарики;Снеки, сухие завтраки;;;;;20;;;;1;;;;;;;;;;;;;
4607024894163;329;ae9d8f38-ceba-11e4-80c4-0025222dc009;Сухарики 3 корочки ржан. с соусом 60 гр;Сухарики 3 корочки ржан. с соусом 60 гр;шт;Сухарики;Снеки, сухие завтраки;;;;;20;;;;1;;;;;;;;;;;;;
4607024896310;329;ae9d8f38-ceba-11e4-80c4-0025222dc009;Сухарики 3 корочки ржан. с соусом 60 гр;Сухарики 3 корочки ржан. с соусом 60 гр;шт;Сухарики;Снеки, сухие завтраки;;;;;20;;;;1;;;;;;;;;;;;;
4607024896648;329;ae9d8f38-ceba-11e4-80c4-0025222dc009;Сухарики 3 корочки ржан. с соусом 60 гр;Сухарики 3 корочки ржан. с соусом 60 гр;шт;Сухарики;Снеки, сухие завтраки;;;;;20;;;;1;;;;;;;;;;;;;
4607024896860;329;ae9d8f38-ceba-11e4-80c4-0025222dc009;Сухарики 3 корочки ржан. с соусом 60 гр;Сухарики 3 корочки ржан. с соусом 60 гр;шт;Сухарики;Снеки, сухие завтраки;;;;;20;;;;1;;;;;;;;;;;;;
4690329003392;329;ae9d8f38-ceba-11e4-80c4-0025222dc009;Сухарики 3 корочки ржан. с соусом 60 гр;Сухарики 3 корочки ржан. с соусом 60 гр;шт;Сухарики;Снеки, сухие завтраки;;;;;20;;;;1;;;;;;;;;;;;;
4607088806119;105;1313e437-9d21-11e4-8186-0025222dc009;Покровская колбаса вареная Красноярск 450 гр;Покровская колбаса вареная Красноярск 450 гр;шт;Колбасные изделия ;;;;;;102;;;;1;;;;;;;;;;;;;
4607070731580;1323;925678b8-3192-11e5-81c7-001e8c783f4c;Бутылка ПЭТ 0,25 л;Бутылка ПЭТ 0,25 л;шт;Тара;;;;;;8;;;;1;;;;;;;;;;;;;
5996175230951;1327;55d10771-3402-11e5-8266-001e8c783f4c;Palmolive Men гель для душа 250 мл;Palmolive Men гель для душа 250 мл;шт;Зубная паста, щетки, мыло;Хоз. товары;;;;;239;;;;3;;;;;;;;;;;;;
8693495024983;1327;55d10771-3402-11e5-8266-001e8c783f4c;Palmolive Men гель для душа 250 мл;Palmolive Men гель для душа 250 мл;шт;Зубная паста, щетки, мыло;Хоз. товары;;;;;239;;;;3;;;;;;;;;;;;;
8693495034784;1327;55d10771-3402-11e5-8266-001e8c783f4c;Palmolive Men гель для душа 250 мл;Palmolive Men гель для душа 250 мл;шт;Зубная паста, щетки, мыло;Хоз. товары;;;;;239;;;;3;;;;;;;;;;;;;
8693495038102;1327;55d10771-3402-11e5-8266-001e8c783f4c;Palmolive Men гель для душа 250 мл;Palmolive Men гель для душа 250 мл;шт;Зубная паста, щетки, мыло;Хоз. товары;;;;;239;;;;3;;;;;;;;;;;;;
8693495045872;1327;55d10771-3402-11e5-8266-001e8c783f4c;Palmolive Men гель для душа 250 мл;Palmolive Men гель для душа 250 мл;шт;Зубная паста, щетки, мыло;Хоз. товары;;;;;239;;;;3;;;;;;;;;;;;;
8693495050074;1327;55d10771-3402-11e5-8266-001e8c783f4c;Palmolive Men гель для душа 250 мл;Palmolive Men гель для душа 250 мл;шт;Зубная паста, щетки, мыло;Хоз. товары;;;;;239;;;;3;;;;;;;;;;;;;
4606055971416;1329;c62d9962-3410-11e5-8266-001e8c783f4c;Бумага для упаковки продуктов 29 см*5 м;Бумага для упаковки продуктов 29 см*5 м;шт;Бытовая ;Хоз. товары;;;;;20;;;;1;;;;;;;;;;;;;
4600171128648;1330;c62d9967-3410-11e5-8266-001e8c783f4c;Мусс для волос Джет 200гр;Мусс для волос Джет 200гр;шт;Бытовая ;Хоз. товары;;;;;108;;;;1;;;;;;;;;;;;;
4600171340644;1330;c62d9967-3410-11e5-8266-001e8c783f4c;Мусс для волос Джет 200гр;Мусс для волос Джет 200гр;шт;Бытовая ;Хоз. товары;;;;;108;;;;1;;;;;;;;;;;;;
4600171527366;1330;c62d9967-3410-11e5-8266-001e8c783f4c;Мусс для волос Джет 200гр;Мусс для волос Джет 200гр;шт;Бытовая ;Хоз. товары;;;;;108;;;;1;;;;;;;;;;;;;
4600823021075;184;7f46da8d-adaf-11e4-838f-0025222dc009;Алёнка шоколад 60 гр;Алёнка шоколад 60 гр;шт;Шоколад;Кондитерские изделия;;;;;51;;;;2;;;;;;;;;;;;;
4606941001753;239;484ed8e9-bc97-11e4-8428-0025222dc009;Колбаса Докторская /Омский бекон/ 450 гр;Колбаса Докторская /Омский бекон/ 450 гр;шт;Колбасные изделия ;;;;;;210;;;;1;;;;;;;;;;;;;
4602541004132;1516;32e13515-5c1f-11e5-84ea-001e8c783f4c;Пюре Агуша в ассорт.115 гр;Пюре Агуша в ассорт.115 гр;шт;Соки;Безалкогольная продукция;;;;;42;;;;7;;;;;;;;;;;;;
4602541004156;1516;32e13515-5c1f-11e5-84ea-001e8c783f4c;Пюре Агуша в ассорт.115 гр;Пюре Агуша в ассорт.115 гр;шт;Соки;Безалкогольная продукция;;;;;42;;;;7;;;;;;;;;;;;;
4602541004170;1516;32e13515-5c1f-11e5-84ea-001e8c783f4c;Пюре Агуша в ассорт.115 гр;Пюре Агуша в ассорт.115 гр;шт;Соки;Безалкогольная продукция;;;;;42;;;;7;;;;;;;;;;;;;
4602541004217;1516;32e13515-5c1f-11e5-84ea-001e8c783f4c;Пюре Агуша в ассорт.115 гр;Пюре Агуша в ассорт.115 гр;шт;Соки;Безалкогольная продукция;;;;;42;;;;7;;;;;;;;;;;;;
4602541004330;1516;32e13515-5c1f-11e5-84ea-001e8c783f4c;Пюре Агуша в ассорт.115 гр;Пюре Агуша в ассорт.115 гр;шт;Соки;Безалкогольная продукция;;;;;42;;;;7;;;;;;;;;;;;;
4690228023583;1516;32e13515-5c1f-11e5-84ea-001e8c783f4c;Пюре Агуша в ассорт.115 гр;Пюре Агуша в ассорт.115 гр;шт;Соки;Безалкогольная продукция;;;;;42;;;;7;;;;;;;;;;;;;
4606941001760;1519;a3cb50ab-5c36-11e5-84ea-001e8c783f4c;Колбаса Молочная вар. /Омский бекон/ 450 гр;Колбаса Молочная вар. /Омский бекон/ 450 гр;шт;Колбасные изделия ;;;;;;160;;;;2;;;;;;;;;;;;;
4605496001171;1883;791786e0-ca2d-11e5-850f-001e8c783f4c;Картофельное пюре Роллтон 120 гр;Картофельное пюре Роллтон 120 гр;шт;Приправы, уксус, сода;;;;;;61;;;;1;;;;;;;;;;;;;
4620001316243;158;05c1ec68-a5f1-11e4-85d4-0025222dc009;Ягуар Энергетически напиток  б/а  0,5 л пэт;Ягуар Энергетически напиток  б/а  0,5 л пэт;шт;Напитки, мин. вода;Безалкогольная продукция;;;;;58;;;;2;;;;;;;;;;;;;
4601201018847;460;d250d237-ee2e-11e4-85fd-001e8c783f4c;Фруктовый сад сок в ассорт. 0,485л;Фруктовый сад сок в ассорт. 0,485л;шт;Соки;Безалкогольная продукция;;;;;52;;;;4;;;;;;;;;;;;;
4601201018878;460;d250d237-ee2e-11e4-85fd-001e8c783f4c;Фруктовый сад сок в ассорт. 0,485л;Фруктовый сад сок в ассорт. 0,485л;шт;Соки;Безалкогольная продукция;;;;;52;;;;4;;;;;;;;;;;;;
4601201018885;460;d250d237-ee2e-11e4-85fd-001e8c783f4c;Фруктовый сад сок в ассорт. 0,485л;Фруктовый сад сок в ассорт. 0,485л;шт;Соки;Безалкогольная продукция;;;;;52;;;;4;;;;;;;;;;;;;
4601201018892;460;d250d237-ee2e-11e4-85fd-001e8c783f4c;Фруктовый сад сок в ассорт. 0,485л;Фруктовый сад сок в ассорт. 0,485л;шт;Соки;Безалкогольная продукция;;;;;52;;;;4;;;;;;;;;;;;;
4601201018908;460;d250d237-ee2e-11e4-85fd-001e8c783f4c;Фруктовый сад сок в ассорт. 0,485л;Фруктовый сад сок в ассорт. 0,485л;шт;Соки;Безалкогольная продукция;;;;;52;;;;4;;;;;;;;;;;;;
;10464;ac361804-eed8-11e4-85fd-001e8c783f4c;Рожки обсыпные в/с/Нива/ 0,1;Рожки обсыпные в/с/Нива/ 0,1;шт;Хлеб, х/ б изд;;;;;;12;;;;8;;;;;;;;;;;;;
1099823801207;480;b5d11615-eee9-11e4-85fd-001e8c783f4c;Пельмени Татарские, 0,45 кг;Пельмени Татарские, 0,45 кг;шт;Пельмени, вареники;Мороженое, замороженные продукты;;;;;120;;;;1;;;;;;;;;;;;;
